RunTime,RandomWalkLength,RandomWalkStart,Improvement
400000,29,5,best
400000,34,3,best
400000,28,5,best
400000,19,7,best
400000,12,9,first
400000,28,4,first
327434,8,11,first
400000,35,4,best
400000,23,1,best
400000,18,9,best
400000,25,7,best
400000,36,4,best
400000,15,1,first
400000,25,4,best
249600,3,17,best
400000,18,8,first
400000,24,1,best
400000,21,2,first
400000,24,7,best
400000,21,8,first
400000,8,10,best
327814,3,16,first
400000,21,6,first
400000,2,15,first
400000,12,8,first
321124,8,16,best
400000,34,4,best
248839,5,15,first
400000,25,2,first
400000,32,6,best
400000,28,6,best
400000,29,2,best
400000,27,8,best
330805,6,12,best
253120,14,9,first
400000,7,14,best
400000,27,7,best
400000,31,4,best
400000,20,7,first
400000,23,7,best
400000,21,1,first
400000,16,9,first
325424,4,15,first
400000,22,8,first
400000,21,5,first
26660,6,15,best
400000,31,6,best
247447,4,17,best
400000,33,5,best
400000,28,3,first
400000,18,1,first
257188,7,16,best
400000,9,10,best
254122,5,13,first
400000,10,11,best
400000,37,3,best
400000,28,7,best
400000,31,5,best
255846,12,11,best
400000,25,5,best
400000,31,2,best
400000,6,13,first
178757,5,12,first
400000,7,12,best
400000,7,13,first
326533,1,18,first
331177,23,8,best
400000,23,6,first
400000,26,3,first
400000,6,10,first
400000,32,3,best
400000,26,2,first
326520,11,9,first
400000,39,3,best
400000,23,5,first
400000,30,4,first
400000,34,5,best
400000,37,4,best
400000,30,2,best
400000,15,2,first
400000,13,9,first
400000,27,4,first
400000,20,1,first
400000,10,13,best
400000,29,6,best
400000,23,1,first
400000,28,1,best
400000,24,2,first
400000,22,1,first
400000,11,10,best
400000,9,12,best
400000,26,4,first
400000,3,15,first
400000,26,1,best
400000,34,3,first
400000,25,8,best
400000,4,16,first
400000,9,14,first
249960,6,14,first
400000,29,8,best
400000,27,2,first
400000,25,4,first
400000,26,5,first
400000,9,11,first
400000,18,7,first
400000,13,11,best
245706,5,17,best
320588,1,19,first
400000,24,1,first
400000,38,6,best
400000,24,7,first
400000,21,9,best
320869,8,15,best
400000,28,8,best
400000,22,6,first
400000,35,4,first
400000,8,13,best
400000,23,2,first
400000,32,1,best
400000,36,3,best
400000,25,6,first
324212,10,10,best
400000,23,7,first
400000,8,12,best
400000,33,6,best
400000,29,5,first
400000,21,7,first
400000,22,2,best
400000,36,4,first
400000,18,9,first
324700,6,16,first
400000,32,8,best
400000,34,4,first
324066,10,16,best
400000,20,8,first
328488,7,15,best
400000,22,5,best
400000,35,5,best
400000,17,9,first
400000,15,9,best
400000,32,6,first
400000,29,6,first
400000,26,6,first
400000,30,1,best
400000,35,8,best
400000,33,2,best
400000,8,10,first
400000,31,4,first
400000,31,8,best
400000,10,11,first
400000,39,4,best
400000,7,11,first
400000,31,7,best
321469,2,18,best
400000,29,3,best
400000,11,16,best
400000,39,3,first
400000,30,7,best
400000,16,7,first
400000,29,7,best
400000,25,5,first
400000,8,16,first
400000,33,7,best
400000,36,6,best
400000,9,16,best
323418,7,10,best
400000,33,5,first
252280,3,17,first
324363,11,13,best
328889,10,14,first
400000,6,12,first
400000,19,7,first
327846,4,17,first
400000,9,13,best
400000,31,5,first
400000,31,2,first
400000,37,2,best
400000,28,7,first
400000,34,1,best
400000,14,11,best
400000,38,1,best
400000,34,6,first
400000,29,4,best
400000,37,3,first
400000,33,1,best
400000,40,4,best
400000,35,1,best
400000,25,7,first
400000,32,2,best
242649,5,17,first
400000,37,6,best
400000,29,8,first
400000,13,13,best
400000,7,14,first
400000,14,13,best
400000,11,10,first
400000,30,8,best
400000,23,9,best
400000,29,2,first
400000,6,17,best
400000,7,12,first
400000,28,5,first
325097,12,14,best
400000,9,12,first
400000,36,7,best
400000,20,9,best
400000,11,11,first
400000,26,1,first
400000,30,2,first
400000,12,11,first
400000,31,1,best
400000,30,5,first
400000,31,3,first
400000,36,1,best
400000,37,4,first
400000,10,16,first
400000,19,1,best
400000,25,8,first
400000,27,5,best
400000,36,8,best
400000,28,2,best
400000,12,10,best
400000,34,8,best
400000,36,5,best
400000,26,9,best
400000,36,3,first
400000,32,3,first
323491,11,15,best
400000,28,8,first
400000,32,1,first
400000,11,12,best
400000,33,4,first
400000,22,7,best
400000,6,15,first
400000,27,8,first
400000,39,2,best
400000,19,9,best
400000,34,7,best
400000,8,14,first
400000,40,6,best
400000,24,9,best
400000,13,10,best
400000,27,7,first
400000,2,19,best
400000,9,15,best
400000,9,10,first
320602,10,13,first
400000,31,6,first
400000,10,10,first
400000,13,14,best
400000,28,6,first
321967,11,13,first
400000,25,9,best
400000,40,5,best
400000,19,11,best
328830,11,14,best
400000,32,8,first
400000,29,4,first
400000,15,9,first
400000,15,11,best
400000,25,1,best
400000,22,5,first
400000,24,6,best
400000,7,15,first
400000,14,16,best
400000,35,8,first
400000,28,1,first
400000,38,6,first
400000,33,7,first
400000,33,2,first
400000,9,13,first
400000,22,2,first
400000,29,3,first
400000,16,11,best
400000,12,15,best
400000,34,1,first
400000,36,2,best
400000,12,13,best
400000,7,17,best
400000,11,16,first
400000,39,5,best
400000,38,5,best
400000,14,10,best
400000,40,2,best
400000,7,16,first
400000,20,11,best
400000,34,2,best
247005,14,11,first
400000,35,1,first
400000,21,9,first
400000,23,8,first
325143,10,17,best
400000,1,21,best
400000,15,10,best
400000,10,15,best
400000,12,16,best
400000,14,14,best
400000,12,12,best
400000,15,13,best
400000,11,17,best
400000,32,4,best
400000,3,18,best
400000,17,11,best
400000,39,6,best
400000,8,15,first
400000,37,1,best
400000,34,5,first
400000,9,17,best
325491,2,21,best
400000,32,5,best
400000,29,7,first
400000,35,3,best
400000,23,9,first
400000,38,8,best
400000,31,8,first
326430,8,13,first
400000,38,3,best
400000,37,2,first
253159,3,19,best
400000,27,6,best
400000,1,20,best
400000,32,2,first
400000,28,9,best
400000,16,13,best
400000,31,7,first
400000,30,1,first
400000,7,10,first
329691,13,16,best
400000,40,4,first
321698,2,19,first
171826,12,14,first
400000,17,10,best
400000,19,1,first
321848,20,9,first
400000,27,1,best
331910,13,12,best
400000,33,6,first
400000,40,1,best
400000,26,7,best
400000,40,6,first
400000,37,8,best
400000,21,11,best
400000,8,12,first
400000,9,16,first
400000,13,11,first
400000,33,1,first
400000,36,7,first
400000,36,8,first
400000,38,7,best
400000,10,12,best
400000,39,2,first
400000,29,9,best
400000,25,9,first
400000,38,4,best
400000,30,6,best
400000,34,8,first
329008,3,21,best
400000,36,5,first
400000,38,1,first
400000,14,13,first
400000,28,2,first
400000,27,9,best
400000,40,3,best
400000,30,8,first
321091,4,21,best
400000,22,11,best
400000,40,8,best
400000,33,3,best
400000,34,7,first
327151,8,17,best
400000,11,15,first
400000,1,23,best
400000,25,1,first
400000,37,6,first
400000,13,13,first
400000,39,7,best
400000,35,5,first
329149,20,13,best
400000,19,9,first
400000,40,7,best
400000,33,8,best
400000,1,22,best
400000,36,6,first
400000,39,4,first
400000,12,12,first
325456,16,10,best
400000,2,18,first
400000,18,16,best
400000,13,15,best
328227,31,9,best
400000,30,7,first
400000,27,5,first
248272,4,19,best
400000,22,7,first
400000,29,1,best
400000,15,14,best
400000,1,21,first
400000,16,16,best
400000,12,16,first
400000,22,13,best
400000,35,6,best
400000,26,8,best
400000,19,16,best
326266,18,13,best
400000,11,12,first
327659,14,14,first
323038,11,14,first
400000,39,6,first
327768,14,16,first
400000,15,11,first
400000,24,8,best
327892,33,9,best
329226,40,5,first
400000,24,9,first
400000,12,10,first
400000,18,10,best
323767,14,12,best
400000,3,18,first
400000,14,10,first
400000,27,6,first
400000,17,13,best
400000,9,15,first
326422,30,9,best
400000,26,9,first
400000,38,5,first
400000,24,11,best
400000,4,18,best
400000,19,10,best
327833,10,15,first
400000,22,9,best
400000,15,16,best
400000,23,13,best
331227,12,15,first
400000,17,10,first
400000,38,3,first
330432,10,12,first
400000,17,11,first
400000,40,2,first
400000,29,9,first
400000,32,5,first
400000,35,3,first
331061,2,21,first
400000,6,17,first
400000,15,12,best
400000,21,13,best
400000,31,1,first
400000,20,11,first
323919,11,17,first
240841,12,13,first
400000,13,14,first
400000,32,7,best
400000,3,19,first
400000,16,11,first
400000,22,10,best
400000,2,20,best
400000,36,2,first
400000,39,5,first
400000,19,14,best
400000,15,13,first
400000,27,1,first
327960,16,13,first
400000,13,10,first
400000,32,4,first
400000,40,7,first
250487,13,17,best
400000,26,7,first
325657,25,13,best
400000,35,9,best
400000,25,11,best
182917,4,21,first
400000,35,7,best
326608,15,15,best
400000,29,1,first
326215,1,22,first
400000,13,16,first
400000,37,8,first
400000,1,24,best
330852,40,8,first
400000,12,17,best
400000,38,2,best
331177,2,23,best
400000,38,7,first
400000,16,15,best
400000,28,9,first
400000,22,11,first
400000,16,14,best
400000,37,7,best
325231,3,21,first
400000,24,6,first
400000,5,19,best
400000,7,21,best
400000,14,15,best
400000,1,23,first
400000,17,16,best
325459,18,15,best
400000,19,11,first
400000,37,9,best
400000,20,16,best
400000,39,1,best
400000,20,13,first
400000,40,1,first
400000,21,11,first
400000,33,9,first
400000,37,5,best
400000,1,25,best
400000,16,10,first
400000,13,15,first
320876,4,19,first
400000,36,1,first
400000,22,16,best
400000,5,21,best
328071,6,21,best
400000,34,2,first
327796,15,14,first
400000,31,9,first
400000,9,17,first
400000,25,16,best
400000,7,17,first
400000,22,15,best
400000,17,12,best
400000,10,17,first
325904,19,10,first
329904,16,16,first
330534,21,16,best
400000,38,4,first
323677,24,13,best
400000,15,10,first
400000,19,16,first
400000,33,3,first
400000,33,8,first
327922,24,11,first
400000,2,22,best
400000,21,10,best
400000,37,1,first
400000,24,10,best
330759,8,17,first
331228,1,20,first
400000,38,8,first
400000,38,9,best
400000,22,13,first
400000,14,12,first
400000,19,12,best
328388,16,12,best
400000,18,11,best
400000,27,13,best
400000,21,15,best
250054,9,21,best
400000,32,7,first
324819,6,18,best
400000,29,13,best
400000,20,15,best
400000,10,21,best
400000,32,13,best
400000,18,16,first
400000,30,13,best
400000,26,13,best
400000,30,6,first
400000,14,17,best
329616,21,13,first
400000,21,14,best
400000,36,9,best
400000,3,25,best
400000,2,20,first
400000,26,8,first
400000,26,11,best
400000,40,3,first
400000,13,12,first
400000,27,11,best
400000,18,13,first
400000,18,14,best
400000,27,9,first
400000,18,12,best
400000,40,9,best
400000,20,12,best
400000,38,2,first
331514,8,21,best
400000,24,8,first
400000,31,11,best
400000,15,17,best
330607,3,20,best
400000,33,11,best
400000,7,19,best
323248,2,25,best
321619,23,15,best
400000,30,9,first
400000,25,14,best
400000,15,16,first
326212,6,19,best
323058,24,16,best
400000,25,15,best
400000,4,20,best
176088,2,24,best
400000,30,10,best
400000,39,7,first
400000,25,10,best
400000,3,23,best
400000,39,1,first
400000,15,15,first
400000,18,15,first
400000,15,12,first
330456,3,22,best
326962,7,21,first
400000,17,13,first
400000,35,9,first
328361,12,21,best
400000,24,15,best
327986,9,19,best
400000,34,9,best
400000,35,6,first
328301,5,19,first
400000,27,16,best
329502,1,26,best
400000,23,13,first
400000,16,14,first
400000,19,14,first
400000,2,23,first
256197,7,18,best
400000,23,11,best
400000,26,10,best
326326,12,17,first
400000,16,17,best
400000,22,9,first
328196,6,21,first
330511,5,22,best
322775,28,13,best
400000,17,16,first
330381,4,25,best
400000,19,15,best
400000,24,13,first
400000,27,10,best
400000,16,15,first
400000,29,11,best
400000,26,14,best
400000,4,23,best
400000,38,9,first
400000,37,5,first
400000,19,12,first
400000,5,18,best
326381,29,16,best
400000,34,11,best
400000,18,10,first
251263,6,23,best
400000,26,15,best
400000,23,14,best
320829,1,24,first
184082,23,17,best
400000,29,15,best
331295,5,20,best
327232,28,16,best
400000,27,13,first
400000,20,15,first
400000,4,22,best
400000,13,17,first
400000,25,16,first
400000,24,14,best
400000,20,16,first
330654,26,16,best
400000,17,12,first
400000,4,18,first
331309,16,12,first
325402,6,18,first
400000,25,13,first
400000,20,10,best
400000,27,15,best
400000,35,11,best
400000,30,11,best
400000,22,10,first
400000,6,22,best
400000,33,13,best
400000,7,22,best
400000,22,15,first
327243,8,19,best
400000,1,25,first
400000,34,13,best
400000,36,13,best
400000,24,10,first
400000,37,7,first
255217,8,21,first
251917,9,22,best
400000,32,13,first
400000,28,10,best
331602,5,25,best
330023,29,13,first
320883,34,16,best
254983,4,20,first
400000,20,17,best
400000,25,14,first
329732,14,17,first
400000,2,25,first
321945,1,26,first
400000,40,9,first
400000,35,2,best
400000,29,10,best
400000,30,13,first
400000,23,15,first
400000,6,20,best
400000,21,16,first
400000,8,20,best
400000,26,11,first
400000,7,19,first
400000,25,15,first
400000,9,21,first
400000,26,12,best
400000,35,7,first
400000,19,13,best
400000,3,25,first
400000,40,13,best
400000,31,11,first
320800,10,19,best
400000,25,11,first
400000,22,16,first
400000,10,20,best
250970,2,24,first
400000,26,10,first
330643,3,23,first
400000,11,21,best
400000,36,9,first
400000,20,12,first
400000,37,9,first
330521,11,20,best
400000,30,10,first
400000,2,22,first
326727,30,15,best
400000,28,15,best
400000,22,12,best
400000,3,22,first
321732,26,15,first
400000,18,17,best
249802,9,20,best
400000,33,11,first
400000,32,9,best
330047,1,27,best
400000,4,25,first
400000,15,17,first
400000,19,17,best
323544,7,18,first
400000,12,21,first
400000,4,23,first
324090,26,14,first
251671,1,29,best
400000,25,10,first
400000,18,11,first
400000,21,14,first
400000,25,17,best
400000,37,11,best
400000,13,21,best
400000,23,12,best
327901,14,21,best
328302,28,13,first
326589,10,21,first
400000,9,19,first
400000,5,23,best
400000,5,21,first
400000,39,13,best
331786,17,14,best
400000,26,13,first
400000,18,12,first
323535,27,11,first
323527,24,16,first
400000,23,14,first
400000,14,15,first
400000,21,17,best
400000,33,10,best
400000,7,20,best
326719,26,17,best
400000,39,8,best
400000,19,15,first
325191,29,11,first
321671,39,9,best
400000,1,31,best
400000,37,16,best
249004,7,23,best
400000,9,18,best
400000,16,17,first
400000,8,25,best
246643,9,22,first
400000,6,23,first
400000,27,10,first
400000,8,22,best
400000,30,12,best
400000,32,10,best
400000,21,15,first
400000,11,18,best
400000,27,15,first
400000,31,16,best
400000,29,15,first
400000,34,9,first
329249,4,22,first
252414,2,26,best
400000,18,14,first
400000,10,18,best
400000,23,10,best
330062,27,17,best
323289,28,17,best
400000,1,28,best
400000,37,13,best
400000,5,20,first
400000,35,16,best
400000,21,10,first
259615,8,18,best
330486,7,22,first
400000,23,17,first
400000,29,16,first
329935,4,24,best
400000,3,20,first
400000,5,24,best
327368,2,27,best
400000,5,22,first
27897,6,24,best
400000,3,24,best
400000,33,15,best
400000,33,16,best
400000,12,19,best
400000,29,14,best
252710,8,19,first
400000,34,15,best
400000,6,22,first
400000,10,22,best
400000,36,15,best
400000,2,28,best
400000,36,13,first
400000,12,18,best
400000,24,12,best
400000,1,30,best
328478,24,17,best
400000,31,17,best
400000,28,16,first
400000,36,11,best
400000,31,10,best
400000,31,13,best
400000,13,20,best
400000,8,24,best
328695,12,20,best
321164,15,21,best
400000,39,11,best
326272,29,17,best
400000,34,11,first
400000,24,15,first
400000,32,15,best
400000,35,11,first
400000,35,2,first
322025,9,25,best
322708,11,22,best
400000,38,13,best
400000,5,25,first
400000,20,14,best
400000,10,20,first
400000,20,17,first
330829,37,11,first
400000,14,20,best
324531,11,25,best
400000,28,15,first
400000,36,16,best
327147,1,33,best
400000,30,11,first
400000,20,10,first
400000,1,32,best
400000,17,21,best
400000,27,16,first
325304,2,30,best
400000,8,23,best
400000,37,15,best
400000,6,19,first
400000,18,21,best
400000,6,20,first
400000,40,11,best
400000,7,25,best
400000,3,27,best
400000,34,16,first
325611,16,21,best
400000,32,12,best
254572,9,20,first
400000,26,17,first
400000,2,33,best
400000,34,10,best
400000,12,22,best
400000,28,14,best
400000,2,29,best
325318,28,11,best
326868,25,17,first
400000,23,16,best
400000,2,31,best
329551,3,33,best
400000,35,17,best
400000,6,25,best
400000,30,15,first
400000,11,20,first
400000,14,18,best
400000,32,11,best
400000,28,10,first
400000,19,17,first
400000,3,26,best
400000,17,15,best
326586,1,36,best
322925,1,31,first
400000,29,10,first
246501,15,20,best
400000,27,12,best
400000,8,18,first
400000,29,12,best
400000,33,13,first
400000,37,16,first
400000,40,13,first
400000,26,16,first
400000,23,11,first
400000,13,22,best
400000,18,17,first
331000,8,20,first
400000,1,29,first
400000,17,20,best
400000,14,21,first
331609,1,28,first
329639,7,20,first
400000,4,27,best
400000,36,10,best
400000,33,17,best
400000,36,15,first
400000,21,12,best
400000,24,14,first
400000,10,19,first
400000,33,10,first
400000,17,14,first
400000,39,9,first
330370,2,34,best
325888,32,14,best
329293,16,18,best
400000,1,35,best
400000,32,10,first
323785,11,23,best
400000,3,24,first
400000,30,16,best
400000,39,8,first
400000,16,19,best
400000,32,9,first
400000,17,17,best
400000,31,16,first
400000,23,10,first
400000,38,11,best
400000,15,21,first
166033,1,30,first
400000,35,16,first
330508,9,25,first
321592,2,36,best
400000,15,18,best
255435,1,27,first
325656,40,15,best
324779,13,25,best
400000,36,17,best
326284,27,17,first
400000,23,12,first
400000,10,23,best
400000,26,12,first
400000,3,28,best
400000,16,20,best
400000,5,18,first
322926,31,13,first
400000,40,10,best
400000,32,17,best
326177,8,22,first
400000,20,20,best
400000,31,14,best
400000,9,18,first
254469,11,18,first
325332,24,12,first
400000,2,28,first
400000,22,14,best
327854,1,34,best
400000,10,22,first
400000,4,33,best
400000,11,21,first
400000,3,30,best
255311,6,24,first
400000,34,17,best
323430,12,19,first
400000,7,24,best
400000,30,17,best
400000,34,15,first
400000,4,31,best
328969,6,33,best
330799,37,17,best
400000,19,13,first
322991,10,18,first
322447,1,33,first
400000,18,22,best
400000,22,12,first
322029,3,32,best
400000,13,19,best
326439,1,37,best
400000,38,10,best
400000,30,12,first
400000,19,21,best
329180,10,25,best
400000,12,18,first
400000,16,21,first
400000,15,22,best
400000,2,26,first
400000,36,11,first
400000,2,32,best
400000,9,23,best
400000,20,21,best
324588,5,33,best
400000,38,13,first
249571,4,24,first
323835,12,25,best
326457,11,25,first
400000,8,33,best
249159,3,26,first
400000,14,20,first
400000,20,14,first
400000,8,25,first
400000,28,17,first
400000,34,13,first
324597,8,23,first
400000,39,16,best
400000,29,14,first
400000,17,22,best
400000,3,31,best
400000,9,24,best
400000,27,14,best
400000,4,28,best
400000,37,15,first
400000,18,21,first
400000,5,27,best
400000,14,19,best
323745,2,30,first
331254,7,25,first
320762,13,22,first
400000,40,11,first
400000,33,16,first
400000,19,20,best
400000,37,10,best
400000,24,17,first
400000,37,13,first
400000,31,17,first
400000,21,17,first
400000,38,15,best
329444,17,21,first
400000,21,20,best
400000,2,33,first
400000,31,15,best
327365,23,20,best
400000,32,12,first
400000,36,16,first
329452,4,32,best
400000,34,14,best
400000,14,18,first
400000,13,21,first
400000,38,17,best
329890,4,30,best
324061,9,33,best
400000,28,14,first
400000,3,29,best
331079,1,32,first
400000,2,29,first
247672,3,33,first
400000,39,10,best
322453,13,20,first
326522,32,11,first
400000,23,16,first
325252,4,29,best
329087,2,27,first
400000,14,22,best
400000,34,10,first
400000,36,10,first
400000,2,31,first
331671,3,27,first
257012,12,20,first
400000,5,31,best
400000,34,12,best
400000,27,12,first
400000,7,33,best
400000,12,22,first
400000,17,19,best
400000,24,20,best
325292,21,21,best
321425,17,18,best
250568,18,20,best
400000,33,15,first
400000,10,24,best
400000,39,11,first
400000,35,17,first
400000,15,20,first
243961,1,36,first
326118,11,22,first
400000,18,18,best
329426,8,24,first
400000,33,12,best
400000,38,16,best
