RunTime,RandomWalkLength,RandomWalkStart,Improvement
7498,9,8,best
16296,6,3,first
18711,21,6,best
5506,1,12,first
2283,1,13,first
7329,9,9,best
1139,7,10,best
400000,3,1,best
6616,7,9,first
10303,5,9,first
20471,21,5,best
4333,8,9,first
19214,26,6,best
329981,18,4,best
5871,16,7,first
7554,8,8,first
7578,1,14,best
9757,1,11,first
3663,13,8,best
7371,9,8,first
7538,5,10,best
3352,2,13,best
14329,13,7,first
3351,1,15,best
400000,1,1,first
9769,12,7,best
102580,18,6,first
2817,7,10,first
5213,2,12,best
181863,19,5,first
250123,27,5,best
5398,4,10,first
248550,14,4,best
7486,2,11,first
3424,2,14,best
27096,14,7,first
9112,6,10,best
162150,23,5,first
9232,10,9,best
9068,11,9,best
5548,8,10,best
2528,12,9,best
331497,17,4,first
5947,9,9,first
12179,11,8,first
101706,20,5,first
8714,3,12,best
7564,6,9,best
400000,4,1,best
400000,5,1,best
328635,20,4,best
400000,9,2,best
6223,19,7,best
5997,5,12,best
3959,3,13,best
7742,3,11,best
7857,4,12,best
11472,13,8,first
400000,4,2,first
330780,8,3,best
13015,12,8,first
7448,2,13,first
5852,4,11,best
21542,15,7,first
14879,10,8,best
7930,8,10,first
16702,24,6,first
103018,29,6,best
24406,18,7,best
165858,27,6,first
24491,21,6,first
18532,22,7,best
323906,21,4,best
8176,2,12,first
6334,12,9,first
4613,3,12,first
5255,5,12,first
330740,3,2,first
20645,17,7,best
12071,6,9,first
325686,28,5,best
323701,22,5,best
89837,26,6,first
3535,5,13,best
8511,3,13,first
400000,6,2,first
400000,2,1,first
15924,9,10,best
12573,2,14,first
5823,10,8,first
10779,10,10,best
82721,1,15,first
21002,12,7,first
17730,1,14,first
15917,5,10,first
13764,4,12,first
249496,9,3,first
3600,8,12,best
11839,11,9,first
400000,5,2,first
168941,31,6,best
8402,4,13,best
92892,20,7,best
7438,7,12,best
400000,8,2,first
8748,6,12,best
8906,4,11,first
21360,10,9,first
18097,19,7,first
85769,16,8,best
16278,6,10,first
91067,14,8,best
10670,3,11,first
1423,2,15,best
2015,4,13,first
320129,11,3,best
5816,7,13,best
99313,28,6,best
8442,14,9,best
176625,19,4,first
3002,1,16,best
11263,23,7,best
400000,12,3,best
400000,10,2,best
3446,6,12,first
1892,14,10,best
5331,3,14,best
98167,25,6,first
7788,5,13,first
9259,15,9,best
10578,6,13,best
400000,7,2,first
170662,30,5,best
324731,14,4,first
14756,17,9,best
322684,11,2,best
96555,15,8,best
253638,10,3,best
5755,5,11,best
13758,19,9,best
27470,24,7,best
90847,18,8,best
10170,10,10,first
12079,8,12,first
11553,12,10,best
11508,10,12,best
3803,14,10,first
87815,13,9,best
322666,32,5,best
24038,18,7,first
400000,3,1,first
26097,21,7,best
99794,21,5,first
8632,8,13,best
7518,7,13,first
400000,5,1,first
9906,14,9,first
3998,19,9,first
18005,11,12,best
16289,21,8,best
15198,9,10,first
107561,24,5,best
7234,12,12,best
19101,22,7,first
4779,5,11,first
82416,4,14,best
6882,6,13,first
11626,16,8,first
10212,15,10,best
10777,17,9,first
20854,22,6,best
9711,13,12,best
14272,7,12,first
99958,19,8,best
11324,14,8,first
92090,29,6,first
249886,22,4,best
321087,8,3,first
400000,12,2,best
12443,1,16,first
1662,11,12,first
14930,9,12,best
10781,3,14,first
16331,6,11,best
37420,20,8,best
10743,15,9,first
400000,23,4,best
7227,11,13,best
14621,11,10,best
7470,17,10,best
11815,9,13,best
7076,12,10,first
5362,22,9,best
3558,4,14,first
7354,10,12,first
8496,15,12,best
89202,22,8,best
1459,5,14,best
3775,30,6,best
6657,8,11,best
5231,13,9,first
400000,7,1,best
36826,34,6,best
8238,8,13,first
90099,25,7,best
14182,7,11,best
7259,12,12,first
2892,9,13,first
3452,6,11,first
21018,20,7,first
4682,13,12,first
18397,2,15,first
11328,20,9,best
400000,9,1,best
2925,19,12,best
323969,20,4,first
966,7,11,first
2757,11,10,first
5549,2,16,best
11244,12,13,best
9400,21,9,best
322495,27,5,first
254018,29,5,best
400000,4,1,first
15742,18,10,best
4945,13,10,best
7576,13,13,best
15553,18,8,first
6169,17,12,best
5676,17,10,first
4464,5,14,first
103874,17,7,first
10769,16,12,best
400000,9,2,first
3757,19,10,best
8149,1,17,best
6421,6,14,best
400000,6,1,best
400000,14,2,best
2514,12,13,first
16860,15,8,first
20751,16,10,best
3567,3,15,best
29233,23,7,first
4402,20,12,best
958,19,10,first
178347,22,5,first
8990,9,12,first
7254,15,12,first
2638,13,13,first
4868,20,9,first
9332,18,12,best
3308,13,10,first
12160,20,8,first
23206,31,7,best
252167,28,5,first
17607,24,8,best
1486,6,14,first
3695,1,19,best
16831,21,7,first
4701,14,12,best
4883,1,18,best
164510,31,6,first
7269,14,13,best
5406,2,17,best
8364,8,11,first
321757,30,5,first
14698,21,8,first
13484,16,9,best
29311,26,7,best
13489,10,11,best
6981,12,11,best
259730,21,4,first
4234,3,15,first
13442,22,9,first
11887,11,13,first
14935,15,10,first
28278,30,7,best
255771,11,3,first
10787,19,12,first
8243,15,11,best
14066,11,11,best
400000,24,4,best
87032,22,8,first
1611,10,11,first
9478,10,13,best
100751,24,5,first
8575,13,11,best
17196,17,8,best
16691,18,9,best
6233,21,12,best
174469,28,6,first
7641,16,12,first
19099,26,8,best
15235,33,7,best
322294,32,6,best
89545,19,8,first
8288,4,16,best
4704,2,17,first
11218,15,13,best
400000,15,3,best
400000,16,2,best
8783,17,12,first
10082,21,9,first
400000,10,2,first
3631,14,12,first
6548,1,17,first
400000,17,2,best
14362,3,16,best
4603,1,19,first
11629,18,10,first
10978,21,10,best
164995,32,5,first
12857,30,8,best
12209,16,9,first
11847,9,14,best
7296,20,10,best
400000,18,2,best
7440,2,16,first
9601,7,14,best
400000,13,3,best
181555,12,3,first
4234,21,12,first
2122,26,12,best
255771,15,4,best
4588,11,11,first
90046,22,6,first
1541,3,16,first
7983,4,15,best
18566,27,8,best
97608,35,7,best
7412,10,13,first
400000,19,2,best
258110,25,4,best
4182,4,16,first
12209,22,12,best
6053,18,13,best
11715,16,10,first
180268,33,6,best
5223,17,11,best
1716,26,12,first
99334,30,6,first
400000,26,4,best
100463,24,7,first
8352,23,8,best
17216,14,13,first
16965,18,12,first
167599,36,6,best
6007,29,12,best
15178,26,7,first
9958,23,9,best
2721,20,10,first
85752,25,7,first
10031,15,11,first
12405,20,12,first
171467,23,4,first
9012,25,10,best
15632,17,8,first
4399,5,16,best
243357,35,6,best
13822,9,11,best
162483,35,5,best
329894,16,3,best
166018,37,7,best
87136,24,9,best
400000,18,4,first
698,29,12,first
9641,34,8,best
14658,24,8,first
14446,16,11,best
400000,8,1,best
8316,3,17,best
3557,18,11,best
1614,5,17,best
2960,9,14,first
400000,20,2,best
14397,1,18,first
167712,28,8,best
14574,12,11,first
82049,33,8,best
11628,18,9,first
16783,25,9,best
254214,33,5,best
9052,6,15,best
4064,6,16,best
17404,17,13,best
15649,24,12,best
6690,19,13,best
10127,31,12,best
4228,2,19,best
5963,22,12,first
86699,4,17,best
5811,18,13,first
5484,30,10,best
13835,26,8,first
2979,5,17,first
400000,10,1,best
320783,34,5,best
400000,22,4,first
6705,7,14,first
2073,8,16,best
82388,13,11,first
3555,9,11,first
2080,28,8,first
400000,11,1,best
13054,15,13,first
6293,21,13,best
4827,6,16,first
25632,33,7,first
10933,7,16,best
82588,26,10,best
85433,30,8,first
89537,34,7,best
7585,23,8,first
13578,23,9,first
2160,21,13,first
9416,24,9,first
23030,23,10,best
11606,28,10,best
6985,5,16,first
400000,13,2,best
3931,23,13,best
82412,27,12,best
321485,10,3,first
4012,16,13,best
244039,40,6,best
12995,34,12,best
19558,21,10,first
96017,31,7,first
4631,2,19,first
254637,36,5,best
4070,9,16,best
4015,4,17,first
16106,35,7,first
11139,30,10,first
400000,14,3,best
18449,33,8,first
5378,2,18,best
5703,11,14,best
10718,10,14,best
9577,19,13,first
171625,15,4,first
16063,17,11,first
89367,33,6,first
100731,32,8,best
37633,37,6,best
10116,25,9,first
12737,3,17,first
13995,4,15,first
11121,30,12,best
85994,29,9,best
94609,27,9,best
184174,38,7,best
11688,20,11,best
98296,26,9,best
400000,21,2,best
19872,36,6,first
22100,27,8,first
7411,18,11,first
13016,16,11,first
6707,7,16,first
1053,5,15,best
168150,34,6,first
6286,23,11,best
5736,23,13,first
400000,7,1,first
8753,6,17,best
245559,25,8,best
400000,11,2,first
8649,8,16,first
246769,27,4,best
12720,8,14,best
14498,33,12,best
4211,9,16,first
400000,13,1,best
14488,17,13,first
11155,23,12,best
10242,14,11,best
248795,28,4,best
12181,31,8,best
13290,29,8,best
4407,31,10,best
161824,30,7,first
95879,32,6,first
21553,32,12,best
400000,9,1,first
6024,2,18,first
15073,23,10,first
80738,34,9,best
17545,35,8,best
324714,12,2,first
99152,27,7,best
100732,31,5,best
164843,39,7,best
1652,3,19,best
15014,22,13,best
9727,16,13,first
6212,8,17,best
19500,35,9,best
400000,16,2,first
9196,24,13,best
22212,24,12,first
400000,6,1,first
11297,10,16,best
6794,20,11,first
109360,23,6,best
243458,29,5,first
6891,11,14,first
3618,7,17,best
93395,31,9,best
169676,39,6,best
8645,10,14,first
400000,18,2,first
12869,32,9,best
93137,29,10,best
7612,30,12,first
20023,21,11,best
1802,33,12,first
12762,24,11,best
171302,34,5,first
243454,29,4,best
400000,18,3,best
84685,31,12,first
20016,32,10,best
22143,6,15,first
5006,22,13,first
249209,25,4,first
400000,14,2,first
253623,35,5,first
24937,25,10,first
10398,27,12,first
6304,7,17,first
8487,9,17,best
96092,19,11,best
6087,26,11,best
6224,23,12,first
7970,25,11,best
3626,3,19,first
9361,25,13,best
90745,26,10,first
20983,37,9,best
8596,32,12,first
19051,35,12,best
13656,28,10,first
94033,20,13,best
3388,12,14,best
15751,14,11,first
26020,39,8,best
9065,3,18,best
88087,39,9,best
261749,37,5,best
11663,5,15,first
1502,5,19,best
85933,12,16,best
6616,13,16,best
12354,24,13,first
21130,22,10,best
20609,29,8,first
249454,25,5,best
400000,14,1,best
400000,8,1,first
400000,22,2,best
5032,27,7,first
2022,10,17,best
12090,26,9,first
23311,27,9,first
400000,12,1,best
15868,14,16,best
18533,28,13,best
82418,34,12,first
9081,1,20,best
11078,6,17,first
13740,10,16,first
3186,32,13,best
2226,19,11,first
331721,13,3,first
2249,8,15,best
81317,26,13,best
400000,15,3,first
8528,13,14,best
182456,38,6,best
245951,37,7,first
87244,31,10,first
32252,34,8,first
400000,23,2,best
24168,35,8,first
24904,34,7,first
13742,23,11,first
6506,28,12,best
1442,5,19,first
95465,38,8,best
170991,40,7,best
169287,37,8,best
7090,11,17,best
252467,26,4,first
248496,24,4,first
400000,17,2,first
6160,28,11,best
168615,32,8,first
3657,12,16,first
86981,29,9,first
84448,39,12,best
4305,13,16,first
10350,31,9,first
18370,38,12,best
10850,27,11,best
172424,40,6,first
25836,24,10,best
14154,25,12,best
7530,13,14,first
14251,26,11,first
167229,32,7,best
173609,35,6,first
11876,9,17,first
7361,10,17,first
179303,36,5,first
8733,27,10,best
247283,32,4,best
321199,31,4,best
87045,32,10,first
5179,8,15,first
326105,14,3,first
5362,28,13,first
400000,19,2,first
14187,7,15,best
7903,14,16,first
7578,11,16,best
15814,13,17,best
13584,32,9,first
17101,24,11,first
87528,25,11,first
252475,33,5,first
12897,20,13,first
12073,12,14,first
6872,3,18,first
19081,34,13,best
400000,20,2,first
255681,22,3,best
400000,11,1,first
24493,8,14,first
400000,24,2,best
167396,38,7,first
400000,10,1,first
98548,35,9,first
22199,34,9,first
8200,25,12,first
8464,11,17,first
324920,33,4,best
16426,36,12,best
173606,39,5,best
13313,33,10,best
8514,28,11,first
19212,4,19,best
17361,30,13,best
3712,7,15,first
6724,32,7,first
243625,31,5,first
90551,29,10,first
9388,33,11,best
34632,8,17,first
7618,9,15,best
9818,18,16,best
23978,32,13,first
2945,13,17,first
17894,25,13,first
16106,35,12,first
323428,36,7,best
17541,1,20,first
400000,16,3,first
321700,29,4,first
400000,21,2,first
8774,15,17,best
21021,28,9,best
7642,12,17,best
11761,14,14,best
13174,15,14,best
244659,39,6,first
321727,20,3,best
86815,28,7,best
12716,27,10,first
167636,39,7,first
32261,37,9,first
13297,39,12,first
14474,16,14,best
161698,36,10,best
7843,15,16,best
13307,6,19,best
320426,37,6,first
400000,27,4,first
91935,38,8,first
82094,28,12,first
104801,40,9,best
400000,27,2,best
400000,16,1,best
17882,16,16,best
400000,28,4,first
9283,14,17,best
170079,25,8,first
400000,18,3,first
12646,27,11,first
243927,37,5,first
17779,30,9,best
16857,38,12,first
4810,9,15,first
7445,4,19,first
104474,31,8,first
16763,36,8,best
92497,35,10,best
95652,40,7,first
8526,4,18,best
11849,17,14,best
93213,22,10,first
400000,18,1,best
400000,13,1,first
97287,21,11,first
99917,30,11,best
29166,39,9,first
400000,35,4,best
249270,36,4,best
10479,11,16,first
14111,40,10,best
176031,38,6,first
400000,19,3,best
95626,24,10,first
10390,18,17,best
400000,13,2,first
6560,18,16,first
9182,38,11,best
99964,39,8,first
10601,10,15,best
400000,15,1,best
168913,34,10,best
6671,14,14,first
327101,16,4,best
25256,26,13,first
11361,6,18,best
10223,11,15,best
7462,6,19,first
10935,7,19,best
400000,24,3,best
9968,2,20,best
247805,25,5,first
87165,32,11,best
400000,28,2,best
10913,15,17,first
18751,36,11,best
90070,34,13,first
11631,28,9,first
99209,33,9,best
21408,29,13,best
171544,37,8,first
172837,33,11,first
8000,8,19,best
10862,16,17,best
9815,15,16,first
400000,29,2,best
17049,33,10,first
3626,4,18,first
12545,15,14,first
400000,37,4,best
400000,19,1,best
106298,34,11,best
181043,23,6,first
16354,12,17,first
400000,15,2,best
90920,39,11,best
6161,12,15,best
400000,21,1,best
18040,40,9,first
14598,17,17,best
400000,22,3,first
4384,7,19,first
99940,30,13,first
14268,16,14,first
92437,35,13,best
6522,10,15,first
6217,20,14,best
400000,21,3,best
14190,20,16,best
23364,28,7,first
400000,23,2,first
326068,40,5,best
31178,38,9,best
400000,22,2,first
13648,17,14,first
3653,8,18,best
5850,16,17,first
400000,14,1,first
175788,33,13,best
91361,36,12,first
9927,27,13,best
91031,36,10,first
17500,40,12,best
85705,7,18,best
400000,32,4,first
400000,31,4,first
5968,34,11,first
7929,12,19,best
16512,16,16,first
87981,19,16,best
320620,39,5,first
86237,40,8,best
400000,23,3,best
26008,29,11,best
19942,22,16,best
91433,22,11,best
400000,30,2,best
25476,20,17,best
3427,23,17,best
13507,6,18,first
400000,32,2,best
95322,37,13,best
5752,8,19,first
400000,22,1,best
85617,19,14,best
6600,17,17,first
8097,12,15,first
22513,21,14,best
5015,8,18,first
3505,31,13,best
400000,23,1,best
86744,9,19,best
6439,33,13,first
8666,18,17,first
16154,39,13,best
10588,1,21,best
4754,7,18,first
400000,25,2,best
13393,25,16,best
11036,23,14,best
11072,24,14,best
15866,2,20,first
7474,25,17,best
3809,19,16,first
325871,30,4,best
83975,11,15,first
12647,29,13,first
19113,30,11,first
10022,37,10,best
87839,14,17,first
24762,38,13,best
14549,5,18,best
93629,32,11,first
3274,35,11,best
11762,24,16,best
17771,22,17,best
91435,10,19,best
8073,12,19,first
400000,26,2,best
400000,17,1,best
326688,17,3,best
89266,36,11,first
400000,25,3,best
400000,34,4,best
164136,39,11,first
400000,33,2,best
8201,17,16,best
253173,38,5,best
8877,37,13,first
103083,38,11,first
2880,27,13,first
5464,9,18,best
104110,36,9,best
400000,16,1,first
848,24,14,first
11982,14,15,best
400000,27,2,first
7747,26,17,best
15948,23,17,first
107342,40,10,first
6348,27,17,best
164446,29,7,best
400000,33,4,first
113039,30,9,first
14904,22,16,first
400000,28,2,first
7014,25,16,first
7436,25,17,first
9257,19,14,first
10603,13,15,best
84116,35,13,first
8527,18,14,best
400000,25,1,best
400000,24,2,first
400000,34,2,best
108007,33,9,first
15264,37,12,best
89967,35,10,first
4653,3,20,best
11754,16,15,best
6680,21,14,first
400000,20,1,best
400000,24,1,best
254381,35,4,first
9390,10,18,best
175956,36,7,first
6226,39,13,first
400000,26,3,best
96267,29,11,first
6791,13,19,best
8432,9,19,first
400000,16,4,first
17653,24,16,first
13992,20,17,first
98607,34,10,first
14368,20,14,first
400000,15,1,first
10107,10,19,first
92646,36,8,first
14036,28,17,best
320224,39,4,best
7669,5,18,first
10361,17,15,best
8997,1,22,best
29798,40,8,first
323750,21,3,first
11106,29,17,best
98262,20,16,first
21932,37,10,first
9907,17,16,first
331797,20,3,first
23704,11,18,best
18220,27,17,first
16725,26,16,best
190596,26,5,best
23097,23,14,first
10757,22,14,best
18160,27,16,best
10688,14,19,best
400000,40,5,first
400000,12,1,first
331919,36,4,first
8399,2,21,best
400000,18,1,first
400000,35,2,best
14987,18,15,best
15387,1,21,first
3854,13,15,first
7203,13,18,best
91844,40,12,first
326035,19,3,first
16441,24,17,best
16016,37,12,first
176998,38,5,first
400000,29,2,first
16387,28,16,best
5894,15,19,best
18827,31,13,first
331638,24,3,first
17456,14,15,first
12278,29,16,best
9393,10,18,first
400000,31,2,best
8526,16,19,best
99912,31,11,best
7503,22,14,first
400000,26,1,best
20779,13,19,first
400000,30,2,first
15517,16,15,first
20654,38,13,first
20645,19,17,best
3364,11,18,first
8187,28,17,first
92655,26,17,first
6214,1,23,best
11502,29,17,first
89712,25,14,best
7092,1,24,best
21427,22,17,first
400000,21,1,first
4959,14,19,first
8613,30,17,best
16933,9,18,first
5070,18,15,first
331320,37,4,first
82908,38,10,best
24712,22,11,first
81628,1,22,first
11317,18,14,first
1415,3,25,best
3400,15,19,first
22638,36,9,first
7838,2,22,best
19025,26,16,first
23872,35,11,first
11521,31,17,best
10810,11,19,best
13317,21,17,best
400000,22,1,first
400000,37,2,best
400000,15,2,first
6166,36,17,best
13072,27,16,first
13187,30,16,best
104677,40,11,best
22491,37,11,best
13733,21,16,best
400000,32,2,first
13042,1,25,best
96874,40,13,best
400000,27,1,best
400000,23,1,first
177148,38,9,first
85810,19,15,best
9264,1,23,first
22817,26,14,best
10688,13,18,first
400000,25,2,first
20502,3,20,first
11582,25,15,best
400000,26,2,first
16825,15,18,best
400000,39,2,best
14333,20,15,best
12682,2,21,first
7102,1,26,best
2647,19,19,best
21373,23,16,best
400000,17,3,first
17341,17,15,first
254821,40,4,best
400000,19,1,first
5918,2,25,best
11967,32,17,best
9827,4,22,best
17732,27,14,best
16265,3,21,best
11565,5,22,best
400000,36,2,best
12617,3,22,best
320708,30,4,first
19295,12,18,best
7540,21,17,first
95864,29,7,first
10616,16,19,first
321180,34,4,first
18891,30,17,first
7206,2,22,first
10667,1,24,first
12155,29,16,first
12176,3,23,best
400000,23,3,first
92950,36,13,best
12313,19,17,first
8944,3,25,first
4616,14,18,best
400000,24,1,first
11606,24,17,first
15714,17,19,best
17708,21,15,best
10757,1,25,first
26890,28,16,first
8238,31,17,first
400000,33,2,first
400000,38,4,best
3848,15,18,first
95889,29,14,best
263361,26,5,first
400000,20,1,first
18742,18,19,best
7219,20,15,first
400000,17,1,first
16556,15,15,best
329927,30,3,best
6133,4,20,best
10315,32,17,first
93102,2,23,best
7219,3,21,first
8488,4,25,best
14014,35,16,best
12732,40,11,first
14373,33,14,best
16142,33,17,best
400000,26,3,first
16357,16,18,best
16754,25,15,first
93251,27,15,best
18279,28,14,best
14089,34,17,best
400000,35,2,first
14516,26,15,best
400000,25,3,first
3042,18,19,first
400000,30,1,best
86018,36,17,first
15009,23,16,first
3241,37,16,best
4990,24,19,best
1878,5,25,best
12226,5,22,first
84632,25,14,first
13068,5,23,best
329479,28,3,best
3818,17,19,first
88599,32,16,best
18779,17,18,best
10637,1,26,first
9643,29,15,best
8315,3,24,best
11574,27,14,first
8821,3,22,first
3188,1,27,best
14725,21,16,first
15135,22,19,best
94102,38,10,first
98700,11,19,first
10805,19,19,first
4719,4,24,best
7057,23,19,best
11183,4,21,best
15649,4,23,best
400000,25,1,first
400000,34,2,first
4441,7,22,best
3572,8,22,best
12608,2,27,best
3734,4,20,first
92061,40,13,first
7850,18,18,best
11259,1,28,best
13276,19,15,first
6358,36,16,best
7122,6,25,best
8138,2,24,best
10601,21,15,first
5557,29,14,first
400000,38,2,best
2960,5,21,best
3258,5,25,first
8889,19,18,best
4928,4,25,first
5596,2,23,first
400000,29,1,best
20315,30,16,first
17442,38,17,best
17169,6,22,best
88213,14,18,first
2292,11,22,best
400000,27,3,best
17179,2,25,first
260710,39,4,first
20555,21,19,best
9725,26,15,first
1756,4,23,first
93367,37,11,first
10037,30,15,best
90315,26,14,first
400000,26,1,first
5487,3,24,first
95395,33,16,best
98569,39,17,best
400000,31,2,first
4882,34,15,best
14647,16,18,first
88884,4,22,first
11828,28,19,best
6442,29,19,best
10961,15,15,first
6480,17,18,first
3111,20,19,best
400000,27,1,first
20506,12,18,first
7285,36,14,best
7955,2,26,best
5361,7,23,best
5736,5,27,best
24397,39,10,best
9730,34,17,first
400000,39,2,first
15320,37,16,first
4641,6,25,first
11361,9,22,best
8523,1,27,first
85402,3,23,first
10137,10,22,best
8046,4,27,best
400000,33,3,best
400000,38,1,best
1674,33,17,first
8143,5,21,first
9405,3,27,best
26240,32,15,best
6581,7,25,best
31731,26,19,best
4091,31,19,best
12384,7,22,first
6783,8,25,best
5048,23,19,first
11729,6,21,best
92500,31,15,best
12540,1,30,best
26118,36,13,first
5185,9,23,best
12389,35,16,first
400000,31,1,best
5473,12,22,best
7220,2,27,first
2170,7,24,best
7750,21,19,first
83889,28,15,best
24694,29,15,first
10844,22,19,first
10730,6,23,best
16925,24,19,first
13808,30,14,best
8350,5,24,best
2763,2,26,first
6467,7,21,best
5551,11,23,best
12631,22,18,best
320013,36,3,best
400000,32,3,best
85454,27,15,first
11674,33,16,first
15614,28,14,first
12396,5,23,first
173169,31,11,first
10304,10,23,best
92960,1,29,best
9271,19,18,first
6316,2,24,first
400000,36,1,best
15789,22,15,best
400000,29,3,best
94999,35,14,best
23898,33,14,first
6351,5,20,best
7538,6,20,best
8655,4,24,first
12964,18,18,first
19485,8,22,first
16337,36,16,first
400000,37,2,first
83928,33,15,best
7600,9,25,best
7745,7,27,best
13755,24,18,best
92453,20,18,best
400000,32,1,best
400000,28,1,best
13336,31,16,best
6431,3,30,best
18608,4,21,first
3405,6,23,first
3778,3,27,first
13350,3,29,best
94190,2,30,best
4428,7,20,best
400000,33,1,best
22264,39,17,first
5654,32,19,best
6282,10,25,best
6176,7,24,first
9194,36,14,first
6182,31,15,first
7561,8,21,best
115783,40,4,first
13307,6,27,best
17180,8,23,best
10553,8,27,best
9089,34,15,first
6671,33,19,best
400000,38,4,first
2596,30,18,best
82543,30,15,first
89818,40,16,best
4079,31,18,best
11851,1,30,first
12555,11,22,first
13458,6,24,best
10084,5,24,first
11430,7,23,first
10419,7,25,first
4863,11,23,first
400000,35,3,best
400000,34,1,best
3582,14,22,best
5090,15,22,best
15098,9,22,first
10711,6,22,first
14960,26,18,best
4526,4,27,first
97353,32,16,first
20860,37,17,best
15388,20,19,first
8142,10,22,first
12311,2,29,best
86655,1,28,first
14119,25,19,best
23902,38,16,best
22688,35,15,best
400000,36,2,first
95927,38,14,best
10402,34,16,best
11444,26,19,first
3603,8,21,first
10215,7,21,first
6457,14,23,best
7233,5,20,first
6656,12,22,first
14270,9,23,first
85778,35,17,best
8016,10,23,first
81442,1,31,best
12672,39,15,best
8780,34,19,best
21559,38,17,first
11398,35,19,best
7280,13,23,best
7231,7,27,first
16263,9,25,first
92649,39,10,first
94377,28,19,first
16487,4,26,best
5966,32,19,first
17139,3,26,best
10810,6,20,first
5091,11,27,best
14954,6,21,first
4936,20,22,best
8246,20,18,first
400000,39,1,best
81815,4,30,best
400000,29,1,first
4773,8,23,first
6731,6,27,first
400000,30,3,first
7378,14,22,first
3660,17,23,best
88321,36,15,best
26696,13,22,best
89838,29,19,first
16815,31,16,first
5518,12,24,best
16722,10,21,best
15241,28,15,first
10208,8,20,best
84269,31,19,first
11608,35,14,first
9721,9,24,best
18594,40,15,best
18639,39,14,best
4032,4,29,best
328000,27,3,first
14483,34,14,best
14695,9,27,best
11155,29,18,best
7848,18,23,best
89127,8,24,best
5495,1,33,best
10624,2,30,first
86564,36,19,best
12229,3,29,first
15463,3,30,first
5574,34,16,first
85509,16,22,best
8899,2,29,first
